States,Hate Group Count,Mass Shooting Count,Total_Victims,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rates,Unemployment Count,Unemployment Rates,Latitude,Longitude,Per Capita Mass Shooting,Per Capita Hate Group,GRADE number,Gun Check Totals,Election_Result
Alabama,23,7.0,44.0,01,4850771.0,38.7,46472.0,25746.0,849699.0,17.51678238366643,165391.0,3.4095816933019516,32.7794,-86.8287,1.4430695656422454,0.47415142871102345,5.5,621305,R
Alaska,4,0.0,0.0,02,738565.0,33.9,76114.0,35065.0,73380.0,9.935482997434214,29548.0,4.00073114756318,64.0685,-152.2782,0.0,0.5415907875407039,5.5,87623,R
Arizona,22,5.0,20.0,04,6809946.0,37.2,53510.0,27964.0,1128046.0,16.564683479134782,225911.0,3.317368449030286,34.2744,-111.6602,0.7342202126125522,0.323056893549523,5.5,310672,R
Arkansas,12,3.0,37.0,05,2977944.0,37.9,43813.0,24426.0,524211.0,17.603118124450962,85128.0,2.858616548867272,34.8938,-92.4426,1.0074064522368453,0.4029625808947381,5.5,234282,R
California,75,37.0,186.0,06,38982847.0,36.1,67169.0,33128.0,5773408.0,14.81012405276608,1491146.0,3.825133654296722,37.1841,-119.4696,0.9491353979354048,0.19239231039231178,0.0,1474616,B
Colorado,21,2.0,12.0,08,5436519.0,36.5,65458.0,34845.0,612143.0,11.259833728163187,152856.0,2.811652088404363,38.9972,-105.5478,0.36788246302459354,0.3862765861758232,3.0,413284,B
Connecticut,6,2.0,8.0,09,3594478.0,40.8,73781.0,41365.0,350783.0,9.758941353932338,140712.0,3.9146713375349633,41.6219,-72.7273,0.556409025176952,0.1669227075530856,0.5,270297,B
Delaware,2,1.0,4.0,10,943732.0,39.8,63036.0,32625.0,111304.0,11.79402627016992,30245.0,3.2048293371423244,38.9896,-75.505,1.0596228590320134,0.21192457180640267,1.5,42950,B
District of Columbia,26,5.0,24.0,11,672391.0,33.9,77649.0,50832.0,111025.0,16.51196996985385,31279.0,4.651906405647904,38.9101,-77.0147,7.436149502298514,3.866797741195227,3.0,512,B
Florida,66,24.0,122.0,12,20278447.0,41.8,50883.0,28774.0,3070972.0,15.144019657915619,699117.0,3.4475864941728527,28.6305,-82.4497,1.1835225843478052,0.3254687106956464,5.5,1034546,B
Georgia,40,9.0,45.0,13,10201635.0,36.4,52977.0,28015.0,1679030.0,16.458440240216397,372581.0,3.6521694806763816,32.6415,-83.4426,0.8822115278580345,0.3920940123813487,5.5,484580,R
Hawaii,1,0.0,0.0,15,1421658.0,38.8,74923.0,32511.0,143148.0,10.06908834614232,34380.0,2.4183031361973133,20.2927,-156.3737,0.0,0.070340405357688,0.5,15225,B
Idaho,12,0.0,0.0,16,1657375.0,35.9,50985.0,25471.0,236000.0,14.239384568972019,42328.0,2.5539180933705405,44.3509,-114.613,0.0,0.7240365035070518,5.5,131742,R
Illinois,35,36.0,173.0,17,12854526.0,37.7,61229.0,32924.0,1698613.0,13.214123959140927,491310.0,3.82207792025937,40.0417,-89.1965,2.800570009349236,0.2722776397978424,1.0,1344096,B
Indiana,30,7.0,33.0,18,6614418.0,37.5,52182.0,27305.0,933540.0,14.113713406077451,202199.0,3.0569431807908116,39.8942,-86.2816,1.0582941688898404,0.45355464380993155,5.0,647550,R
Iowa,4,2.0,9.0,19,3118102.0,38.1,56570.0,30063.0,361343.0,11.588556115226506,69018.0,2.213461907275644,42.0751,-93.49600000000001,0.6414158356590003,0.12828316713180005,3.5,127022,B
Kansas,4,4.0,19.0,20,2903820.0,36.3,55477.0,29600.0,361285.0,12.441714706834446,71009.0,2.445365070837724,38.4937,-98.3804,1.3774958502937509,0.1377495850293751,5.5,172167,R
Kentucky,11,6.0,28.0,21,4424376.0,38.6,46535.0,25888.0,783586.0,17.710655694723958,140717.0,3.1804937012586634,37.5347,-85.3021,1.3561234397799824,0.24862263062633014,5.5,2492184,R
Louisiana,13,15.0,69.0,22,4663461.0,36.4,46710.0,26205.0,887574.0,19.03251683674421,157186.0,3.3705867809337313,31.0689,-91.9968,3.216495216749963,0.2787629187849968,5.5,315357,R
Maine,3,1.0,5.0,23,1330158.0,44.3,53024.0,29886.0,166904.0,12.547682305410335,36790.0,2.765836840435497,45.3695,-69.2428,0.7517903888109533,0.225537116643286,5.5,83085,B
Maryland,19,8.0,34.0,24,5996079.0,38.5,78916.0,39070.0,566966.0,9.455612576151848,198375.0,3.308412047272893,39.055,-76.7909,1.334205236455357,0.31687374365814724,0.5,142207,B
Massachusetts,10,1.0,4.0,25,6789319.0,39.4,74167.0,39913.0,727546.0,10.71603794136054,224856.0,3.3119080131600827,42.2596,-71.8083,0.1472901774095458,0.14729017740954578,0.5,179344,B
Michigan,29,8.0,34.0,26,9925568.0,39.6,52668.0,28938.0,1510841.0,15.221708218612779,361624.0,3.643358244082354,44.3467,-85.4102,0.8059992133447678,0.2921747148374783,3.0,424091,B
Minnesota,12,4.0,17.0,27,5490726.0,37.9,65699.0,34712.0,560995.0,10.217137041622546,130510.0,2.3769170051464963,46.2807,-94.3053,0.7285011126033242,0.21855033378099725,2.5,481122,B
Mississippi,15,13.0,65.0,28,2986220.0,36.9,42009.0,22500.0,620007.0,20.762268017761585,117786.0,3.944317565350175,32.7364,-89.6678,4.353329627421958,0.5023072647025336,5.5,214829,R
Missouri,18,10.0,48.0,29,6075300.0,38.4,51542.0,28282.0,861679.0,14.183316050236202,175919.0,2.895643013513736,38.3566,-92.458,1.6460092505719883,0.29628166510295784,5.5,517063,R
Montana,8,1.0,5.0,30,1029862.0,39.8,50801.0,28706.0,144198.0,14.001681778723752,25076.0,2.43488933468756,47.0527,-109.6333,0.9710038820735205,0.7768031056588165,5.5,121836,R
Nebraska,9,0.0,0.0,31,1893921.0,36.3,56675.0,29866.0,220330.0,11.633536984911197,38881.0,2.0529367381216006,41.5378,-99.7951,0.0,0.4752046151872227,4.5,68568,R
Nevada,9,2.0,504.0,32,2887725.0,37.7,55434.0,28450.0,405263.0,14.033988693521717,116285.0,4.026872364923945,39.3289,-116.6312,0.6925867248439515,0.3116640261797782,4.5,116735,B
New Hampshire,9,0.0,0.0,33,1331848.0,42.7,71305.0,36914.0,104470.0,7.843988202857984,33566.0,2.5202575669295597,43.6805,-71.5811,0.0,0.6757527886065077,5.5,124677,B
New Jersey,17,13.0,54.0,34,8960161.0,39.6,76475.0,39069.0,938252.0,10.471374342492282,328167.0,3.662512314231854,40.1907,-74.6728,1.4508667868802805,0.18972873366895976,0.5,92320,B
New Mexico,1,2.0,11.0,35,2084828.0,37.3,46718.0,25257.0,420293.0,20.159600696076605,73710.0,3.5355434597002726,34.4071,-106.1126,0.9593117513770921,0.047965587568854606,5.5,139780,B
New York,48,13.0,60.0,36,19798228.0,38.4,62765.0,35752.0,2908471.0,14.690562205870142,685368.0,3.4617643558807383,42.9538,-75.5268,0.6566244211350631,0.24244594011140794,0.5,365427,B
North Carolina,32,7.0,34.0,37,10052564.0,38.4,50320.0,28123.0,1579871.0,15.716099892524932,352287.0,3.504449213155967,35.5557,-79.3877,0.6963397596871803,0.31832674728556815,5.0,1182349,R
North Dakota,2,0.0,0.0,38,745475.0,35.1,61285.0,34256.0,79374.0,10.647439551963513,11085.0,1.4869713940776015,47.4501,-100.4659,0.0,0.26828532143935074,5.5,70548,R
Ohio,31,21.0,117.0,39,11609756.0,39.3,52407.0,29011.0,1683890.0,14.504094659698275,378735.0,3.2622132627076743,40.2862,-82.7937,1.8088235446119625,0.2670168089665278,4.5,596389,B
Oklahoma,10,1.0,5.0,40,3896251.0,36.3,49767.0,26461.0,612714.0,15.725732248769393,105375.0,2.704522886230892,35.5889,-97.4943,0.2566569761547703,0.2566569761547703,5.5,348495,R
Oregon,18,0.0,0.0,41,4025127.0,39.2,56119.0,30410.0,587248.0,14.589552081213835,138139.0,3.4319165581607733,43.9336,-120.5583,0.0,0.4471908588225912,3.0,243044,B
Pennsylvania,36,15.0,67.0,42,12790505.0,40.7,56951.0,31476.0,1623537.0,12.693298661780752,422016.0,3.2994475198594584,40.8781,-77.7996,1.172744938530574,0.28145878524733775,3.0,899241,B
Rhode Island,3,0.0,0.0,44,1056138.0,39.9,61043.0,33315.0,136126.0,12.889035334397589,38634.0,3.658044687341995,41.6762,-71.5562,0.0,0.2840537884253762,1.0,20400,B
South Carolina,14,7.0,37.0,45,4893444.0,39.0,48781.0,26645.0,790657.0,16.157475185166113,170257.0,3.4792877981233667,33.9169,-80.8964,1.4304853595954097,0.28609707191908196,5.5,289764,R
South Dakota,7,0.0,0.0,46,855444.0,36.8,54126.0,28761.0,114885.0,13.429867998372774,17018.0,1.9893762771145744,44.4443,-100.2263,0.0,0.8182885145024104,5.5,83659,R
Tennessee,37,14.0,70.0,47,6597381.0,38.6,48708.0,27277.0,1072360.0,16.25432880108031,210756.0,3.194540378977658,35.858000000000004,-86.3505,2.122054190897873,0.5608286075944379,5.0,533394,R
Texas,66,22.0,150.0,48,27419612.0,34.3,57051.0,28985.0,4291384.0,15.650783096420183,784888.0,2.86250585894505,31.4757,-99.3312,0.8023454161204031,0.24070362483612093,5.5,1465992,R
Utah,3,1.0,5.0,49,2993941.0,30.5,65325.0,26907.0,324856.0,10.850447620711297,64314.0,2.1481385237718444,39.3055,-111.6703,0.33400791799170393,0.10020237539751117,5.5,263812,R
Vermont,2,0.0,0.0,50,624636.0,42.8,57808.0,31917.0,68144.0,10.909393630850607,14969.0,2.3964356841424443,44.0687,-72.6658,0.0,0.32018647660397415,5.5,31502,B
Virginia,37,12.0,58.0,51,8365952.0,38.0,68766.0,36268.0,906838.0,10.839627098027815,236648.0,2.828703774537554,37.5215,-78.8537,1.4343854710139385,0.442268853562631,4.5,419764,B
Washington,26,3.0,14.0,53,7169967.0,37.6,66174.0,34869.0,859950.0,11.993779050865925,218821.0,3.0519108386412377,47.3826,-120.4472,0.41841196758646165,0.36262370524160015,1.5,482115,B
West Virginia,4,0.0,0.0,54,1836843.0,42.2,44061.0,24774.0,317089.0,17.262716519593674,57659.0,3.1390271242561285,38.6409,-80.6227,0.0,0.2177649369053316,5.5,221847,R
Wisconsin,11,2.0,9.0,55,5763217.0,39.2,56759.0,30557.0,692719.0,12.019658465055194,145271.0,2.520658167131309,44.6243,-89.9941,0.3470284044484183,0.19086562244663005,3.5,334308,B
Wyoming,1,0.0,0.0,56,583200.0,37.0,60938.0,31214.0,63398.0,10.87071330589849,14459.0,2.4792524005486967,42.9957,-107.5512,0.0,0.17146776406035666,5.5,63063,R
